FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AZ, Maricopa",2020,All,04013,1 to 4,1 to 4,"AZ, Maricopa County"
"AZ, Pinal",2020,All,04021,1 to 4,1 to 4,"AZ, Pinal County"
"AR, Sebastian",2020,All,05131,1 to 4,1 to 4,"AR, Sebastian County"
"CA, Contra Costa",2020,All,06013,1 to 4,1 to 4,"CA, Contra Costa County"
"CA, El Dorado",2020,All,06017,1 to 4,1 to 4,"CA, El Dorado County"
"CA, Fresno",2020,All,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Kern",2020,All,06029,1 to 4,1 to 4,"CA, Kern County"
"CA, Marin",2020,All,06041,1 to 4,1 to 4,"CA, Marin County"
"CA, Merced",2020,All,06047,1 to 4,1 to 4,"CA, Merced County"
"CA, Napa",2020,All,06055,1 to 4,1 to 4,"CA, Napa County"
"CA, Riverside",2020,All,06065,1 to 4,1 to 4,"CA, Riverside County"
"CA, Sacramento",2020,All,06067,1 to 4,1 to 4,"CA, Sacramento County"
"CA, San Bernardino",2020,All,06071,1 to 4,1 to 4,"CA, San Bernardino County"
"CA, San Diego",2020,All,06073,1 to 4,1 to 4,"CA, San Diego County"
"CA, San Francisco",2020,All,06075,1 to 4,1 to 4,"CA, San Francisco, City and County of"
"CA, San Joaquin",2020,All,06077,1 to 4,1 to 4,"CA, San Joaquin County"
"CA, San Mateo",2020,All,06081,1 to 4,1 to 4,"CA, San Mateo County"
"CA, Santa Cruz",2020,All,06087,1 to 4,1 to 4,"CA, Santa Cruz County"
"CA, Stanislaus",2020,All,06099,1 to 4,1 to 4,"CA, Stanislaus County"
"CA, Sutter",2020,All,06101,1 to 4,1 to 4,"CA, Sutter County"
"CA, Tulare",2020,All,06107,1 to 4,1 to 4,"CA, Tulare County"
"CA, Ventura",2020,All,06111,1 to 4,1 to 4,"CA, Ventura County"
"CA, Yolo",2020,All,06113,1 to 4,1 to 4,"CA, Yolo County"
"CO, Denver",2020,All,08031,1 to 4,1 to 4,"CO, Denver, City and County of"
"CO, Douglas",2020,All,08035,1 to 4,1 to 4,"CO, Douglas County"
"CO, Larimer",2020,All,08069,1 to 4,1 to 4,"CO, Larimer County"
"CT, Fairfield",2020,All,09001,1 to 4,1 to 4,"CT, Fairfield County"
"CT, Hartford",2020,All,09003,1 to 4,1 to 4,"CT, Hartford County"
"CT, New Haven",2020,All,09009,1 to 4,1 to 4,"CT, New Haven County"
"DE, New Castle",2020,All,10003,1 to 4,1 to 4,"DE, New Castle County"
"DC, Washington",2020,All,11001,1 to 4,1 to 4,"DC, District of Columbia"
"FL, Brevard",2020,All,12009,1 to 4,1 to 4,"FL, Brevard County"
