Year,Travel status,Jurisdiction,Count,Legend,Notes
2023,All,AK,2,1 to 4,
2023,All,GU,2,1 to 4,
2023,All,KS,2,1 to 4,
2023,All,MP,1,1 to 4,
2023,All,MS,1,1 to 4,
2023,All,MT,1,1 to 4,
2023,All,NH,1,1 to 4,
2023,All,NM,2,1 to 4,
2023,All,OK,4,1 to 4,
2023,All,SC,4,1 to 4,
2023,All,SD,4,1 to 4,
2023,All,VT,2,1 to 4,
2023,All,WV,1,1 to 4,
2023,All,AL,5,5 to 49,
2023,All,AR,9,5 to 49,
2023,All,AZ,32,5 to 49,
2023,All,CO,22,5 to 49,
2023,All,CT,13,5 to 49,
2023,All,DC,6,5 to 49,
2023,All,DE,5,5 to 49,
2023,All,GA,31,5 to 49,
2023,All,HI,7,5 to 49,
2023,All,IA,6,5 to 49,
2023,All,ID,7,5 to 49,
2023,All,IL,45,5 to 49,
2023,All,IN,10,5 to 49,
2023,All,KY,10,5 to 49,
2023,All,LA,9,5 to 49,
2023,All,MD,26,5 to 49,
2023,All,MI,19,5 to 49,
2023,All,MN,25,5 to 49,
2023,All,MO,12,5 to 49,
2023,All,NC,28,5 to 49,
2023,All,NE,5,5 to 49,
2023,All,NV,5,5 to 49,
2023,All,OH,13,5 to 49,
2023,All,OR,12,5 to 49,
2023,All,PA,40,5 to 49,
2023,All,RI,13,5 to 49,
2023,All,TN,5,5 to 49,
2023,All,UT,11,5 to 49,
2023,All,VA,27,5 to 49,
2023,All,WA,31,5 to 49,
2023,All,WI,12,5 to 49,
2023,All,WY,5,5 to 49,
2023,All,MA,60,50 to 249,
2023,All,NJ,99,50 to 249,
2023,All,TX,79,50 to 249,"In 2023, the county of acquisition for the Dallas, TX case was Val Verde County."
2023,All,CA,250,250+,
2023,All,FL,784,250+,
2023,All,NY,253,250+,
2023,All,PR,1294,250+,
